RIC,Description,Currency,Type/Sub Type,Exchange,Comment
1357.T,NF N225 DBL INV ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信
1358.T,LIF NK LEVER IDX ETF,JPY,EQTY,TSE,上場インデックスファンド日経レバレッジ指数
1360.T,N225 BEAR-2X ETF,JPY,EQTY,TSE,日経平均ベア２倍上場投信
1364.T,ISHARES JPXNK400 ETF,JPY,EQTY,TSE,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ
1365.T,DAIWA N225 LEV ETF,JPY,EQTY,TSE,ダイワ上場投信－日経平均レバレッジ・インデックス
1366.T,DAIWA N225 DBINV ETF,JPY,EQTY,TSE,ダイワ上場投信－日経平均ダブルインバース・インデックス
1367.T,DAIWA TPX LEV 2X ETF,JPY,EQTY,TSE,ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数
1368.T,DAIWA TPX DBINV ETF,JPY,EQTY,TSE,ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数
1369.T,DIAM ETF Nikkei 225,JPY,EQTY,TSE,Ｏｎｅ　ＥＴＦ　日経２２５
1376.T,KANEKO SEEDS ORD,JPY,EQTY,TSE,カネコ種苗
1377.T,SAKATA SEED ORD,JPY,EQTY,TSE,サカタのタネ
1379.T,HOKUTO ORD,JPY,EQTY,TSE,ホクト
1380.T,AKIKAWA FOODS ORD,JPY,EQTY,TSE,秋川牧園
1381.T,AXYZ ORD,JPY,EQTY,TSE,アクシーズ
1382.T,HOB ORD,JPY,EQTY,TSE,ホーブ
1383.T,BERG EARTH ORD,JPY,EQTY,TSE,ベルグアース
1384.T,HOKURYO ORD,JPY,EQTY,TSE,ホクリヨウ
1385.T,UBS EURO STOXX50 ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）
1386.T,UBS ETF MSCI EUR ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）
1387.T,UBS ETF MSCI EMU ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　欧州通貨圏株（ＭＳＣＩ　ＥＭＵ）
1388.T,UBS EMU SM CAP ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　欧州通貨圏小型株（ＭＳＣＩ　ＥＭＵ小型株）
1389.T,UBS ETF FTSE 100 ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）
1390.T,UBS ETF MSCI PAC ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）
1391.T,UBS MSCI SW20/35 ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）
1392.T,UBS ETF MSCI UK ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）
1393.T,UBS ETF MSCI USA ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）
1394.T,UBS MSCI WORLD ETF,JPY,EQTY,TSE,ＵＢＳ　ＥＴＦ　先進国株（ＭＳＣＩワールド）
1397.T,SMAM N225 ETF,JPY,EQTY,TSE,ＳＭＡＭ　日経２２５上場投信
1398.T,SMAM REIT INDEX ETF,JPY,EQTY,TSE,ＳＭＡＭ　東証ＲＥＩＴ指数上場投信
1399.T,NIKO HI DV LO VL ETF,JPY,EQTY,TSE,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ
1400.T,RUDEN HOLDINGS ORD,JPY,EQTY,TSE,ルーデン・ホールディングス
1401.T,MBS ORD,JPY,EQTY,TSE,エムビーエス
1407.T,WEST HOLDINGS ORD,JPY,EQTY,TSE,ウエストホールディングス
1408.T,SOMETHING HLDGS ORD,JPY,EQTY,TSE,サムシングホールディングス
1413.T,HINOKIYA GROUP ORD,JPY,EQTY,TSE,ヒノキヤグループ
1414.T,SHO-BOND HLDG ORD,JPY,EQTY,TSE,ショーボンドホールディングス
1417.T,MIRAIT HOLDINGS ORD,JPY,EQTY,TSE,ミライト・ホールディングス
1418.T,INTERLIFE HLDG ORD,JPY,EQTY,TSE,インターライフホールディングス
1419.T,TAMA HOME ORD,JPY,EQTY,TSE,タマホーム
1420.T,SANYO HOMES ORD,JPY,EQTY,TSE,サンヨーホームズ
1429.T,NIPPON AQUA ORD,JPY,EQTY,TSE,日本アクア
1430.T,FIRST-CORPORATIO ORD,JPY,EQTY,TSE,ファーストコーポレーション
1432.T,DORYOKU ORD,JPY,EQTY,TSE,動力
1433.T,BESTERRA ORD,JPY,EQTY,TSE,ベステラ
1434.T,JESCO HOLDINGS ORD,JPY,EQTY,TSE,ＪＥＳＣＯホールディングス
1435.T,TATERU ORD,JPY,EQTY,TSE,ＴＡＴＥＲＵ
1436.T,FIT ORD,JPY,EQTY,TSE,フィット
1437.T,PEACE LIVING ORD,JPY,EQTY,TSE,ピースリビング
1439.T,YASUE ORD,JPY,EQTY,TSE,安江工務店
1440.T,YAMAZEN HOMES ORD,JPY,EQTY,TSE,やまぜんホームズ
1443.T,GIKEN HOLDINGS ORD,JPY,EQTY,TSE,技研ホールディングス
1444.T,NISSOU ORD,JPY,EQTY,TSE,ニッソウ
1445.T,HIKARI HOLDINGS ORD,JPY,EQTY,TSE,ひかりホールディングス
1446.T,CANDEAL ORD,JPY,EQTY,TSE,キャンディル
1456.T,DAIWA N225 INV ETF,JPY,EQTY,TSE,ダイワ上場投信－日経平均インバース・インデックス
1457.T,DAIWA TPX INV-1X ETF,JPY,EQTY,TSE,ダイワ上場投信－ＴＯＰＩＸインバース（－１倍）指数
1458.T,RAK ETF N225 LEV ETF,JPY,EQTY,TSE,楽天ＥＴＦ‐日経レバレッジ指数連動型
1459.T,RAK N225 DB INV ETF,JPY,EQTY,TSE,楽天ＥＴＦ‐日経ダブルインバース指数連動型
1460.T,MTB JP QLTY150 ETF,JPY,EQTY,TSE,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０上場投信
1464.T,DAIWA JPX400LEV2 ETF,JPY,EQTY,TSE,ダイワ上場投信－ＪＰＸ日経４００レバレッジ・インデックス
1465.T,DAIWA JPX400INV1 ETF,JPY,EQTY,TSE,ダイワ上場投信－ＪＰＸ日経４００インバース・インデックス
1466.T,DAIWA JPX400INV2 ETF,JPY,EQTY,TSE,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース・インデックス
1467.T,SAM JPX400LEV2 ETF,JPY,EQTY,TSE,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）
1468.T,SAM JPX400INV1 ETF,JPY,EQTY,TSE,ＪＰＸ日経４００ベア上場投信（インバース）
1469.T,SAM JPX400INV2 ETF,JPY,EQTY,TSE,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）
1470.T,NOM JPX400LEV2 ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・インデックス連動型上場投信
1471.T,NOM JPX400INV1 ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・インデックス連動型上場投信
1472.T,NOM JPX400INV2 ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信
1473.T,DIAM TOPIX ETF,JPY,EQTY,TSE,Ｏｎｅ　ＥＴＦ　トピックス
1474.T,DIAM JPX NK 400 ETF,JPY,EQTY,TSE,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００
1475.T,BRJ TOPIX ETF,JPY,EQTY,TSE,ｉシェアーズ　ＴＯＰＩＸ　ＥＴＦ
1476.T,BRJ TSE REIT ETF,JPY,EQTY,TSE,ｉシェアーズ　Ｊリート　ＥＴＦ
1477.T,BRJ MSCI NIHON ETF,JPY,EQTY,TSE,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ
1478.T,BRJ MSCI JP YLD ETF,JPY,EQTY,TSE,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ
1479.T,DAIW MSCI H&P ETF,JPY,EQTY,TSE,ダイワ上場投信－ＭＳＣＩ日本株人材設備投資指数
1480.T,NOM VAL AL IDX ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信
1481.T,NIKO JP EC CONT ETF,JPY,EQTY,TSE,上場インデックスファンド日本経済貢献株
1482.T,BRJ USTB 7-10Y ETF,JPY,EQTY,TSE,ｉシェアーズ　米国債７－１０年　ＥＴＦ（為替ヘッジあり）
1483.T,BRJ CAPX&HC ETF,JPY,EQTY,TSE,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ
1484.T,ONE CAPX&HC ETF,JPY,EQTY,TSE,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数
1485.T,MTB PRO INV200 ETF,JPY,EQTY,TSE,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信
1486.T,NIKO US BD NO HG ETF,JPY,EQTY,TSE,上場インデックスファンド米国債券（為替ヘッジなし）
1487.T,NIKO US BD HDG ETF,JPY,EQTY,TSE,上場インデックスファンド米国債券（為替ヘッジあり）
1488.T,DAIW TSE REIT ETF,JPY,EQTY,TSE,ダイワ上場投信－東証ＲＥＩＴ指数
1489.T,NOM NKHD ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信
1490.T,NIKO BETA HDG ETF,JPY,EQTY,TSE,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）
1491.T,CHUGAI MINING ORD,JPY,EQTY,TSE,中外鉱業
1492.T,MTB JPX-NIKKEI ETF,JPY,EQTY,TSE,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信
1493.T,ONE JPX-NK MS ETF,JPY,EQTY,TSE,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型
1494.T,ONE HI DIV JPEQ ETF,JPY,EQTY,TSE,Ｏｎｅ　ＥＴＦ　高配当日本株
1495.T,NIKO ASIA REIT ETF,JPY,EQTY,TSE,上場インデックスファンドアジアリート
1496.T,BRJ US IGCB ETF,JPY,EQTY,TSE,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）
1497.T,BRJ US HYCB ETF,JPY,EQTY,TSE,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）
1498.T,ONE ETF ESG ETF,JPY,EQTY,TSE,Ｏｎｅ　ＥＴＦ　ＥＳＧ
1499.T,MTB HIDV70 MN ETF,JPY,EQTY,TSE,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信
1514.T,SUMISEKI HLDG ORD,JPY,EQTY,TSE,住石ホールディングス
1515.T,NITTETSU MINING ORD,JPY,EQTY,TSE,日鉄鉱業
