RIC,Description,Currency,Type/Sub Type,Exchange,Comment
2384.T,SBS HOLDINGS ORD,JPY,EQTY,TSE,ＳＢＳホールディングス
2385.T,SOIKEN HOLDINGS ORD,JPY,EQTY,TSE,総医研ホールディングス
2388.T,WEDGE HOLDINGS ORD,JPY,EQTY,TSE,ウェッジホールディングス
2389.T,OPT HOLDING ORD,JPY,EQTY,TSE,オプトホールディング
2391.T,PLANET INC ORD,JPY,EQTY,TSE,プラネット
2393.T,NPN CARE SUPPLY ORD,JPY,EQTY,TSE,日本ケアサプライ
2395.T,SHIN NPN BIOMEDI ORD,JPY,EQTY,TSE,新日本科学
2397.T,DNA CHIP RESEARC ORD,JPY,EQTY,TSE,ＤＮＡチップ研究所
2398.T,TSUKUI ORD,JPY,EQTY,TSE,ツクイ
2402.T,AMANA ORD,JPY,EQTY,TSE,アマナ
2404.T,TETSUJIN INC ORD,JPY,EQTY,TSE,鉄人化計画
2405.T,FUJIKOH CO LTD ORD,JPY,EQTY,TSE,フジコー
2406.T,ARTE SALON HLDG ORD,JPY,EQTY,TSE,アルテ　サロン　ホールディングス
2408.T,KG INTELLIGENCE ORD,JPY,EQTY,TSE,ＫＧ情報
2410.T,CAREER DESIGN ORD,JPY,EQTY,TSE,キャリアデザインセンター
2411.T,GENDAI AGENCY ORD,JPY,EQTY,TSE,ゲンダイエージェンシー
2412.T,BENEFIT ONE ORD,JPY,EQTY,TSE,ベネフィット・ワン
2413.T,M3 ORD,JPY,EQTY,TSE,エムスリー
2415.T,HUMAN HOLDINGS ORD,JPY,EQTY,TSE,ヒューマンホールディングス
2417.T,ZWEI ORD,JPY,EQTY,TSE,ツヴァイ
2418.T,TSUKADA GLOBAL H ORD,JPY,EQTY,TSE,ツカダ・グローバルホールディング
2424.T,BRASS ORD,JPY,EQTY,TSE,ブラス
2425.T,CARE SERVICE ORD,JPY,EQTY,TSE,ケアサービス
2427.T,OUTSOURCING ORD,JPY,EQTY,TSE,アウトソーシング
2428.T,WELLNET ORD,JPY,EQTY,TSE,ウェルネット
2429.T,WORLD HOLDINGS ORD,JPY,EQTY,TSE,ワールドホールディングス
2432.T,DENA ORD,JPY,EQTY,TSE,ディー・エヌ・エー
2433.T,HAKUHODO DY HLDG ORD,JPY,EQTY,TSE,博報堂ＤＹホールディングス
2435.T,CEDAR ORD,JPY,EQTY,TSE,シダー
2436.T,KYODO PUBLIC ORD,JPY,EQTY,TSE,共同ピーアール
2437.T,SHINWA WISE HLDG ORD,JPY,EQTY,TSE,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ
2438.T,ASUKANET ORD,JPY,EQTY,TSE,アスカネット
2440.T,GURUNAVI ORD,JPY,EQTY,TSE,ぐるなび
2445.T,SRG TAKAMIYA ORD,JPY,EQTY,TSE,エスアールジータカミヤ
2449.T,PRAP JAPAN ORD,JPY,EQTY,TSE,プラップジャパン
2452.T,COMPUTER MIND ORD,JPY,EQTY,TSE,コンピュータマインド
2453.T,JPN BEST RESCUE ORD,JPY,EQTY,TSE,ジャパンベストレスキューシステム
2454.T,ALL ABOUT ORD,JPY,EQTY,TSE,オールアバウト
2458.T,YUME TECHNOLOGY ORD,JPY,EQTY,TSE,夢テクノロジー
2459.T,AUN CONSULTING ORD,JPY,EQTY,TSE,アウンコンサルティング
2461.T,FAN COMMUNICA ORD,JPY,EQTY,TSE,ファンコミュニケーションズ
2462.T,LIKE ORD,JPY,EQTY,TSE,ライク
2464.T,BUS BREAKTHROUGH ORD,JPY,EQTY,TSE,ビジネス・ブレークスルー
2468.T,FUETREK ORD,JPY,EQTY,TSE,フュートレック
2469.T,HIBINO ORD,JPY,EQTY,TSE,ヒビノ
2471.T,S-POOL ORD,JPY,EQTY,TSE,エスプール
2475.T,WDB HOLDINGS ORD,JPY,EQTY,TSE,ＷＤＢホールディングス
2477.T,TEMAIRAZU ORD,JPY,EQTY,TSE,手間いらず
2479.T,JTEC ORD,JPY,EQTY,TSE,ジェイテック
2480.T,SYSTEM LOCATION ORD,JPY,EQTY,TSE,システム・ロケーション
2481.T,TOWNNEWS-SHA ORD,JPY,EQTY,TSE,タウンニュース社
2483.T,HONYAKU CENTER ORD,JPY,EQTY,TSE,翻訳センター
2484.T,YUME NO MACHI ORD,JPY,EQTY,TSE,夢の街創造委員会
2485.T,TEAR ORD,JPY,EQTY,TSE,ティア
2487.T,CDG ORD,JPY,EQTY,TSE,ＣＤＧ
2488.T,JPN THIRD PARTY ORD,JPY,EQTY,TSE,日本サード・パーティ
2489.T,ADWAYS ORD,JPY,EQTY,TSE,アドウェイズ
2491.T,VALUECOMMERCE ORD,JPY,EQTY,TSE,バリューコマース
2492.T,INFOMART ORD,JPY,EQTY,TSE,インフォマート
2493.T,E-SUPPORTLINK ORD,JPY,EQTY,TSE,イーサポートリンク
2497.T,UNITED ORD,JPY,EQTY,TSE,ユナイテッド
2498.T,ACKG ORD,JPY,EQTY,TSE,ＡＣＫグループ
2499.T,NIHONWASOU HLDG ORD,JPY,EQTY,TSE,日本和装ホールディングス
2501.T,SAPPORO HOLDINGS ORD,JPY,EQTY,TSE,サッポロホールディングス
2502.T,ASAHI GROUP HLDG ORD,JPY,EQTY,TSE,アサヒグループホールディングス
2503.T,KIRIN HOLDINGS ORD,JPY,EQTY,TSE,キリンホールディングス
2510.T,NOM JBOND BPI ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　国内債券・ＮＯＭＵＲＡ－ＢＰＩ総合連動型上場投信
2511.T,NOM FTSE WGBI ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信
2512.T,NOM WGBI EX-JP ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信
2513.T,NOM MSCI KOKUSAI ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジなし）連動型上場投信
2514.T,NOM MSCI YEN-HDG ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジあり）連動型上場投信
2515.T,NOM REIT S&P ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信
2516.T,SA TSE MTHR ETF,JPY,EQTY,TSE,東証マザーズＥＴＦ
2517.T,MTB J-REIT CORE ETF,JPY,EQTY,TSE,ＭＡＸＩＳ　Ｊリート・コア上場投信
2518.T,NOM MSCI WIN ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩ日本株女性活躍指数（セレクト）連動型上場投信
2519.T,NOM EMBI PLUS ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　新興国債券・Ｊ．Ｐ．モルガン・エマージング・マーケット・ボンド・インデックス・プラス（為替ヘッジなし）連動型上場投信
2520.T,NOM MSCI-EM ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　新興国株式・ＭＳＣＩエマージング・マーケット・インデックス（為替ヘッジなし）連動型上場投信
2531.T,TAKARA HOLDINGS ORD,JPY,EQTY,TSE,宝ホールディングス
2533.T,OENON HOLDINGS ORD,JPY,EQTY,TSE,オエノンホールディングス
2540.T,YOMEISHU SEIZO ORD,JPY,EQTY,TSE,養命酒製造
2573.T,HOKKAIDO COCA CO ORD,JPY,EQTY,TSE,北海道コカ・コーラボトリング
2579.T,COCA-COLA B J HD ORD,JPY,EQTY,TSE,コカ・コーラ　ボトラーズジャパンホールディングス
2586.T,FRUTA FRUTA ORD,JPY,EQTY,TSE,フルッタフルッタ
2587.T,SUNTORY BEVERAGE ORD,JPY,EQTY,TSE,サントリー食品インターナショナル
2588.T,PREMIUM WATER HD ORD,JPY,EQTY,TSE,プレミアムウォーターホールディングス
2590.T,DYDO GROUP HLDG ORD,JPY,EQTY,TSE,ダイドーグループホールディングス
2593.T,ITO EN ORD,JPY,EQTY,TSE,伊藤園
25935.T,ITO EN LTD P-5 PRF,JPY,EQTY,TSE,伊藤園 優先株式
2594.T,KEY COFFEE ORD,JPY,EQTY,TSE,キーコーヒー
2597.T,UNICAFE ORD,JPY,EQTY,TSE,ユニカフェ
2599.T,JAPAN FOODS ORD,JPY,EQTY,TSE,ジャパンフーズ
2602.T,NISSHIN OILLIO ORD,JPY,EQTY,TSE,日清オイリオグループ
2607.T,FUJI OIL HOLDING ORD,JPY,EQTY,TSE,不二製油グループ本社
2608.T,BOSO OIL&FAT ORD,JPY,EQTY,TSE,ボーソー油脂
2612.T,KADOYA SESAME ORD,JPY,EQTY,TSE,かどや製油
2613.T,J OIL MILLS ORD,JPY,EQTY,TSE,Ｊ－オイルミルズ
2651.T,LAWSON ORD,JPY,EQTY,TSE,ローソン
2652.T,MANDARAKE ORD,JPY,EQTY,TSE,まんだらけ
2653.T,AEON KYUSHU ORD,JPY,EQTY,TSE,イオン九州
2654.T,ASMO ORD,JPY,EQTY,TSE,アスモ
2655.T,MAXVALU TOHOKU ORD,JPY,EQTY,TSE,マックスバリュ東北
2656.T,VECTOR ORD,JPY,EQTY,TSE,ベクター
2659.T,SAN-A ORD,JPY,EQTY,TSE,サンエー
2664.T,CAWACHI ORD,JPY,EQTY,TSE,カワチ薬品
2666.T,AUTOWAVE ORD,JPY,EQTY,TSE,オートウェーブ
2667.T,IMAGEONE ORD,JPY,EQTY,TSE,イメージ　ワン
2668.T,TABIO ORD,JPY,EQTY,TSE,タビオ
2669.T,KANEMI ORD,JPY,EQTY,TSE,カネ美食品
2670.T,ABC MART ORD,JPY,EQTY,TSE,エービーシー・マート
2673.T,YUMEMITSUKETAI ORD,JPY,EQTY,TSE,夢みつけ隊
2674.T,HARD OFF ORD,JPY,EQTY,TSE,ハードオフコーポレーション
2675.T,DYNAC ORD,JPY,EQTY,TSE,ダイナックホールディングス
2676.T,TAKACHIHO KOHEKI ORD,JPY,EQTY,TSE,高千穂交易
2678.T,ASKUL ORD,JPY,EQTY,TSE,アスクル
2681.T,GEO HOLDINGS ORD,JPY,EQTY,TSE,ゲオホールディングス
2683.T,UOKI ORD,JPY,EQTY,TSE,魚喜
2685.T,ADASTRIA ORD,JPY,EQTY,TSE,アダストリア
2686.T,GFOOT ORD,JPY,EQTY,TSE,ジーフット
2687.T,CVS BAY AREA ORD,JPY,EQTY,TSE,シー・ヴイ・エス・ベイエリア
2689.T,KAWANISHI HLDGS ORD,JPY,EQTY,TSE,カワニシホールディングス
2692.T,ITOCHU SHOKUHIN ORD,JPY,EQTY,TSE,伊藤忠食品
2693.T,YKT ORD,JPY,EQTY,TSE,ＹＫＴ
2694.T,G TASTE ORD,JPY,EQTY,TSE,ジー・テイスト
2695.T,KURA ORD,JPY,EQTY,TSE,くらコーポレーション
2698.T,CAN DO CO LTD ORD,JPY,EQTY,TSE,キャンドゥ
2700.T,KITOKU SHINRYO ORD,JPY,EQTY,TSE,木徳神糧
2702.T,MCDONALDS HLDGS ORD,JPY,EQTY,TSE,日本マクドナルドホールディングス
2703.T,LITE-ON JAPAN ORD,JPY,EQTY,TSE,日本ライトン
2705.T,OOTOYA HOLDINGS ORD,JPY,EQTY,TSE,大戸屋ホールディングス
2706.T,BROCCOLI ORD,JPY,EQTY,TSE,ブロッコリー
2708.T,KUZE ORD,JPY,EQTY,TSE,久世
2714.T,PLA MATELS ORD,JPY,EQTY,TSE,プラマテルズ
2715.T,ELEMATEC ORD,JPY,EQTY,TSE,エレマテック
2719.T,KITAMURA,JPY,EQTY,TSE,キタムラ
2721.T,J-HOLDINGS ORD,JPY,EQTY,TSE,ジェイホールディングス
2722.T,I K ORD,JPY,EQTY,TSE,アイケイ
2726.T,PAL GROUP HLDG ORD,JPY,EQTY,TSE,パルグループホールディングス
2729.T,JALUX ORD,JPY,EQTY,TSE,ＪＡＬＵＸ
2730.T,EDION ORD,JPY,EQTY,TSE,エディオン
2733.T,ARATA ORD,JPY,EQTY,TSE,あらた
2734.T,SALA ORD,JPY,EQTY,TSE,サーラコーポレーション
2735.T,WATTS ORD,JPY,EQTY,TSE,ワッツ
2736.T,FESTARIA HLD ORD,JPY,EQTY,TSE,フェスタリアホールディングス
2737.T,TOMEN DEVICES ORD,JPY,EQTY,TSE,トーメンデバイス
2742.T,HALOWS ORD,JPY,EQTY,TSE,ハローズ
2743.T,PIXEL COMPANYZ ORD,JPY,EQTY,TSE,ピクセルカンパニーズ
2747.T,HOKUYU LUCKY ORD,JPY,EQTY,TSE,北雄ラッキー
2749.T,JP-HOLDINGS ORD,JPY,EQTY,TSE,ＪＰホールディングス
2750.T,S ISHIMITSU ORD,JPY,EQTY,TSE,石光商事
2751.T,TENPOS HOLDINGS ORD,JPY,EQTY,TSE,テンポスホールディングス
2752.T,FUJIO FOOD SYSTE ORD,JPY,EQTY,TSE,フジオフードシステム
2753.T,AMIYAKI TEI ORD,JPY,EQTY,TSE,あみやき亭
2754.T,TOKATSU HOLDINGS ORD,JPY,EQTY,TSE,東葛ホールディングス
2760.T,TOKYO ELE DEVICE ORD,JPY,EQTY,TSE,東京エレクトロン　デバイス
2761.T,TOSHIN GROUP ORD,JPY,EQTY,TSE,トシン・グループ
2762.T,SANKO MARKETING ORD,JPY,EQTY,TSE,三光マーケティングフーズ
2763.T,FTGROUP ORD,JPY,EQTY,TSE,エフティグループ
2764.T,HIRAMATSU ORD,JPY,EQTY,TSE,ひらまつ
2767.T,FIELDS ORD,JPY,EQTY,TSE,フィールズ
2768.T,SOJITZ ORD,JPY,EQTY,TSE,双日
2769.T,VILLAGE VANGUARD ORD,JPY,EQTY,TSE,ヴィレッジヴァンガードコーポレーション
2773.T,MUTUAL ORD,JPY,EQTY,TSE,ミューチュアル
2776.T,SHINTO HOLDINGS ORD,JPY,EQTY,TSE,新都ホールディングス
2777.T,CASSINA IXC ORD,JPY,EQTY,TSE,カッシーナ・イクスシー
2778.T,PALEMO HOLDINGS ORD,JPY,EQTY,TSE,パレモ・ホールディングス
2780.T,KOMEHYO ORD,JPY,EQTY,TSE,コメ兵
2782.T,SERIA ORD,JPY,EQTY,TSE,セリア
2784.T,ALFRESA HOLDINGS ORD,JPY,EQTY,TSE,アルフレッサ　ホールディングス
2788.T,APPLE INTL ORD,JPY,EQTY,TSE,アップルインターナショナル
2789.T,KARULA ORD,JPY,EQTY,TSE,カルラ
2790.T,NAFCO ORD,JPY,EQTY,TSE,ナフコ
2791.T,DAIKOKUTENBUSSAN ORD,JPY,EQTY,TSE,大黒天物産
2792.T,HONEYS HOLDINGS ORD,JPY,EQTY,TSE,ハニーズホールディングス
2795.T,NIPPON PRIMEX ORD,JPY,EQTY,TSE,日本プリメックス
2796.T,PHARMARISE HLDG ORD,JPY,EQTY,TSE,ファーマライズホールディングス
2798.T,Y'S TABLE CORP ORD,JPY,EQTY,TSE,ワイズテーブルコーポレーション
2801.T,KIKKOMAN ORD,JPY,EQTY,TSE,キッコーマン
2802.T,AJINOMOTO ORD,JPY,EQTY,TSE,味の素
2804.T,BULL DOG SAUCE ORD,JPY,EQTY,TSE,ブルドックソース
2805.T,SB FOODS ORD,JPY,EQTY,TSE,ヱスビー食品
2806.T,YUTAKA FOODS ORD,JPY,EQTY,TSE,ユタカフーズ
2809.T,KEWPIE ORD,JPY,EQTY,TSE,キユーピー
2810.T,HOUSE FOODS GRP ORD,JPY,EQTY,TSE,ハウス食品グループ本社
2811.T,KAGOME ORD,JPY,EQTY,TSE,カゴメ
2812.T,YAIZU SUISAN ORD,JPY,EQTY,TSE,焼津水産化学工業
2813.T,WAKOU SHOKUHIN ORD,JPY,EQTY,TSE,和弘食品
2814.T,SATO FOODS INDS ORD,JPY,EQTY,TSE,佐藤食品工業
2815.T,ARIAKE JAPAN ORD,JPY,EQTY,TSE,アリアケジャパン
2816.T,DAISHO ORD,JPY,EQTY,TSE,ダイショー
2818.T,PIETRO ORD,JPY,EQTY,TSE,ピエトロ
2819.T,EBARA FOODS IND ORD,JPY,EQTY,TSE,エバラ食品工業
2820.T,YAMAMI ORD,JPY,EQTY,TSE,やまみ
2830.T,AOHATA ORD,JPY,EQTY,TSE,アヲハタ
2831.T,HAGOROMO FOODS ORD,JPY,EQTY,TSE,はごろもフーズ
2871.T,NICHIREI ORD,JPY,EQTY,TSE,ニチレイ
2872.T,SEIHYO ORD,JPY,EQTY,TSE,セイヒョー
2874.T,YOKOHAMA REITO ORD,JPY,EQTY,TSE,横浜冷凍
2875.T,TOYO SUISAN ORD,JPY,EQTY,TSE,東洋水産
2876.T,JC COMSA CORP ORD,JPY,EQTY,TSE,ジェーシー・コムサ
2877.T,NITTOBEST ORD,JPY,EQTY,TSE,日東ベスト
2882.T,EAT& ORD,JPY,EQTY,TSE,イートアンド
2883.T,DAIREI ORD,JPY,EQTY,TSE,大冷
2884.T,YOSHIMURA FOOD H ORD,JPY,EQTY,TSE,ヨシムラ・フード・ホールディングス
2892.T,NIHON SHOKUHIN ORD,JPY,EQTY,TSE,日本食品化工
2894.T,ISHII FOOD ORD,JPY,EQTY,TSE,石井食品
2897.T,NISSIN FOODS HLD ORD,JPY,EQTY,TSE,日清食品ホールディングス
2899.T,NAGATANIEN HLDG ORD,JPY,EQTY,TSE,永谷園ホールディングス
2901.T,ISHIGAKI FOODS ORD,JPY,EQTY,TSE,石垣食品
2903.T,SHINOBU FOODS ORD,JPY,EQTY,TSE,シノブフーズ
2904.T,ICHIMASA KAMABOK ORD,JPY,EQTY,TSE,一正蒲鉾
2905.T,OK FOOD IND ORD,JPY,EQTY,TSE,オーケー食品工業
2907.T,AHJIKAN ORD,JPY,EQTY,TSE,あじかん
2908.T,FUJICCO ORD,JPY,EQTY,TSE,フジッコ
2910.T,ROCK FIELD ORD,JPY,EQTY,TSE,ロック・フィールド
2911.T,ASAHIMATSU FOODS ORD,JPY,EQTY,TSE,旭松食品
2914.T,JAPAN TOBACCO ORD,JPY,EQTY,TSE,日本たばこ産業
2915.T,KENKO MAYONNAISE ORD,JPY,EQTY,TSE,ケンコーマヨネーズ
2916.T,SEMBA TOHKA ORD,JPY,EQTY,TSE,仙波糖化工業
2917.T,OHMORIYA ORD,JPY,EQTY,TSE,大森屋
2918.T,WARABEYA NICHIYO ORD,JPY,EQTY,TSE,わらべや日洋ホールディングス
2922.T,NATORI ORD,JPY,EQTY,TSE,なとり
2923.T,SATO FOODS ORD,JPY,EQTY,TSE,サトウ食品工業
2924.T,IFUJI SANGYO ORD,JPY,EQTY,TSE,イフジ産業
2925.T,PICKLES ORD,JPY,EQTY,TSE,ピックルスコーポレーション
2926.T,SHINOZAKIYA ORD,JPY,EQTY,TSE,篠崎屋
2927.T,AFC-HD AMS LIFE ORD,JPY,EQTY,TSE,ＡＦＣ－ＨＤアムスライフサイエンス
2929.T,PHARMA FOODS INT ORD,JPY,EQTY,TSE,ファーマフーズ
2930.T,KITANOTATSUJIN ORD,JPY,EQTY,TSE,北の達人コーポレーション
2931.T,EUGLENA ORD,JPY,EQTY,TSE,ユーグレナ
3001.T,KATAKURA INDS ORD,JPY,EQTY,TSE,片倉工業
3002.T,GUNZE ORD,JPY,EQTY,TSE,グンゼ
3003.T,HULIC ORD,JPY,EQTY,TSE,ヒューリック
3004.T,SHINYEI ORD,JPY,EQTY,TSE,神栄
3010.T,KACHIKAIHATSU ORD,JPY,EQTY,TSE,価値開発
3011.T,BANNERS ORD,JPY,EQTY,TSE,バナーズ
3020.T,APPLIED ORD,JPY,EQTY,TSE,アプライド
3021.T,PACIFIC NET ORD,JPY,EQTY,TSE,パシフィックネット
3023.T,RASA ORD,JPY,EQTY,TSE,ラサ商事
3024.T,CREATE ORD,JPY,EQTY,TSE,クリエイト
3028.T,ALPEN ORD,JPY,EQTY,TSE,アルペン
3030.T,HUB ORD,JPY,EQTY,TSE,ハブ
3031.T,RACCOON ORD,JPY,EQTY,TSE,ラクーン
3034.T,QOL ORD,JPY,EQTY,TSE,クオール
3035.T,KTK ORD,JPY,EQTY,TSE,ケイティケイ
3036.T,ALCONIX ORD,JPY,EQTY,TSE,アルコニックス
3038.T,KOBE BUSSAN ORD,JPY,EQTY,TSE,神戸物産
3039.T,HEKI ORD,JPY,EQTY,TSE,碧
3040.T,SOLITON SYSTEMS ORD,JPY,EQTY,TSE,ソリトンシステムズ
3041.T,BEAUTY KADAN ORD,JPY,EQTY,TSE,ビューティ花壇
3042.T,SECUAVAIL ORD,JPY,EQTY,TSE,セキュアヴェイル
3045.T,KAWASAKI ORD,JPY,EQTY,TSE,カワサキ
3046.T,JINS ORD,JPY,EQTY,TSE,ジンズ
3048.T,BIC CAMERA ORD,JPY,EQTY,TSE,ビックカメラ
3050.T,DCM HOLDINGS ORD,JPY,EQTY,TSE,ＤＣＭホールディングス
3053.T,PEPPER FOOD SVC ORD,JPY,EQTY,TSE,ペッパーフードサービス
3054.T,HYPER ORD,JPY,EQTY,TSE,ハイパー
3058.T,SANYODO HOLDINGS ORD,JPY,EQTY,TSE,三洋堂ホールディングス
3059.T,HIRAKI ORD,JPY,EQTY,TSE,ヒラキ
3063.T,J-GROUP HOLDINGS ORD,JPY,EQTY,TSE,ジェイグループホールディングス
3064.T,MONOTARO ORD,JPY,EQTY,TSE,ＭｏｎｏｔａＲＯ
3065.T,LIFE FOODS ORD,JPY,EQTY,TSE,ライフフーズ
3067.T,TK ICHIBAN FOODS ORD,JPY,EQTY,TSE,東京一番フーズ
3068.T,WDI ORD,JPY,EQTY,TSE,ＷＤＩ
3069.T,JFLA HOLDINGS ORD,JPY,EQTY,TSE,アスラポート・ダイニング
3070.T,AMAGASA ORD,JPY,EQTY,TSE,アマガサ
3071.T,STREAM ORD,JPY,EQTY,TSE,ストリーム
3073.T,DD HOLDINGS ORD,JPY,EQTY,TSE,ＤＤホールディングス
3075.T,CHOUSHIMARU ORD,JPY,EQTY,TSE,銚子丸
3076.T,AI HOLDINGS ORD,JPY,EQTY,TSE,あい　ホールディングス
3077.T,HORIIFOODSERVICE ORD,JPY,EQTY,TSE,ホリイフードサービス
3079.T,DVX ORD,JPY,EQTY,TSE,ディーブイエックス
3080.T,JASON ORD,JPY,EQTY,TSE,ジェーソン
3082.T,KICHIRI ORD,JPY,EQTY,TSE,きちり
3083.T,C'SMEN ORD,JPY,EQTY,TSE,シーズメン
3085.T,ARCLAND SVC HLDG ORD,JPY,EQTY,TSE,アークランドサービスホールディングス
3086.T,J.FRONT RETAILIN ORD,JPY,EQTY,TSE,Ｊ．フロント　リテイリング
3087.T,DOUTOR NICHIRES ORD,JPY,EQTY,TSE,ドトール・日レスホールディングス
3088.T,MATSUMOTOKIYOSHI ORD,JPY,EQTY,TSE,マツモトキヨシホールディングス
3089.T,TECHNO ALPHA ORD,JPY,EQTY,TSE,テクノアルファ
3091.T,BRONCO BILLY ORD,JPY,EQTY,TSE,ブロンコビリー
3092.T,START TODAY ORD,JPY,EQTY,TSE,スタートトゥデイ
3093.T,TREASURE FACTORY ORD,JPY,EQTY,TSE,トレジャー・ファクトリー
3094.T,SUPER VALUE ORD,JPY,EQTY,TSE,スーパーバリュー
3096.T,OCEAN SYSTEM ORD,JPY,EQTY,TSE,オーシャンシステム
3097.T,MONOGATARI ORD,JPY,EQTY,TSE,物語コーポレーション
3098.T,COCOKARA FINE ORD,JPY,EQTY,TSE,ココカラファイン
3099.T,ISETAN MITSUKO H ORD,JPY,EQTY,TSE,三越伊勢丹ホールディングス
3101.T,TOYOBO ORD,JPY,EQTY,TSE,東洋紡
3103.T,UNITIKA ORD,JPY,EQTY,TSE,ユニチカ
3104.T,FUJIBO HOLDINGS ORD,JPY,EQTY,TSE,富士紡ホールディングス
3105.T,NISSHINBO HLDG ORD,JPY,EQTY,TSE,日清紡ホールディングス
3106.T,KURABO INDS ORD,JPY,EQTY,TSE,倉敷紡績
3107.T,DAIWABO HOLDINGS ORD,JPY,EQTY,TSE,ダイワボウホールディングス
3109.T,SHIKIBO ORD,JPY,EQTY,TSE,シキボウ
3110.T,NITTOBO ORD,JPY,EQTY,TSE,日東紡績
3111.T,OMIKENSHI ORD,JPY,EQTY,TSE,オーミケンシ
3113.T,OAK CAPITAL ORD,JPY,EQTY,TSE,Ｏａｋ　キャピタル
3116.T,TOYOTA BOSHOKU ORD,JPY,EQTY,TSE,トヨタ紡織
3121.T,MBK ORD,JPY,EQTY,TSE,マーチャント・バンカーズ
3123.T,SAIBO ORD,JPY,EQTY,TSE,サイボー
3125.T,SHINNAIGAI TEXT ORD,JPY,EQTY,TSE,新内外綿
3131.T,SHINDEN HIGHTEX ORD,JPY,EQTY,TSE,シンデン・ハイテックス
3132.T,MACNICA FUJI ELE ORD,JPY,EQTY,TSE,マクニカ・富士エレホールディングス
3133.T,KAIHAN ORD,JPY,EQTY,TSE,海帆
3134.T,HAMEE ORD,JPY,EQTY,TSE,Ｈａｍｅｅ
3135.T,MARKETENTERPRISE ORD,JPY,EQTY,TSE,マーケットエンタープライズ
3137.T,FUNDELY ORD,JPY,EQTY,TSE,ファンデリー
3138.T,FUJISAN MAGAZINE ORD,JPY,EQTY,TSE,富士山マガジンサービス
3139.T,LACTO JAPAN ORD,JPY,EQTY,TSE,ラクト・ジャパン
3140.T,IDEA INTL ORD,JPY,EQTY,TSE,イデアインターナショナル
3141.T,WELCIA HOLDINGS ORD,JPY,EQTY,TSE,ウエルシアホールディングス
3143.T,O'WILL ORD,JPY,EQTY,TSE,オーウイル
3148.T,CREATE SD HLDG ORD,JPY,EQTY,TSE,クリエイトＳＤホールディングス
3150.T,GREMZ ORD,JPY,EQTY,TSE,グリムス
3151.T,VITAL KSK HLDG ORD,JPY,EQTY,TSE,バイタルケーエスケー・ホールディングス
3153.T,YASHIMA DENKI ORD,JPY,EQTY,TSE,八洲電機
3154.T,MEDIUS HOLDINGS  ORD,JPY,EQTY,TSE,メディアスホールディングス
3156.T,UKC HOLDINGS ORD,JPY,EQTY,TSE,ＵＫＣホールディングス
3157.T,JUTEC HOLDINGS ORD,JPY,EQTY,TSE,ジューテックホールディングス
3159.T,MARUZEN CHI HLDG ORD,JPY,EQTY,TSE,丸善ＣＨＩホールディングス
3160.T,OOMITSU ORD,JPY,EQTY,TSE,大光
3161.T,AZEARTH ORD,JPY,EQTY,TSE,アゼアス
3165.T,FUHRMEISTER ELEC ORD,JPY,EQTY,TSE,フーマイスターエレクトロニクス
3166.T,OCHI HOLDINGS ORD,JPY,EQTY,TSE,ＯＣＨＩホールディングス
3167.T,TOKAI HOLDINGS ORD,JPY,EQTY,TSE,ＴＯＫＡＩホールディングス
3168.T,KUROTANI ORD,JPY,EQTY,TSE,黒谷
3169.T,MISAWA ORD,JPY,EQTY,TSE,ミサワ
3171.T,MAXVALU KYUSHU ORD,JPY,EQTY,TSE,マックスバリュ九州
3172.T,TEA LIFE ORD,JPY,EQTY,TSE,ティーライフ
3173.T,COMINIX ORD,JPY,EQTY,TSE,Ｃｏｍｉｎｉｘ
3174.T,HAPPINESS AND D ORD,JPY,EQTY,TSE,ハピネス・アンド・ディ
3175.T,AP COMPANY ORD,JPY,EQTY,TSE,エー・ピーカンパニー
3176.T,SANYO TRADING ORD,JPY,EQTY,TSE,三洋貿易
3177.T,ARIGATOU SERVICE ORD,JPY,EQTY,TSE,ありがとうサービス
3178.T,CHIMNEY ORD,JPY,EQTY,TSE,チムニー
3179.T,SYUPPIN ORD,JPY,EQTY,TSE,シュッピン
