家電関連株,1285,1285,8281,名詞,一般,*,*,*,*,家電関連株,カデンカンレンカブ,カデンカンレンカブ
半導体株,1285,1285,8281,名詞,一般,*,*,*,*,半導体株,ハンドウタイカブ,ハンドータイカブ
建機株,1285,1285,8281,名詞,一般,*,*,*,*,建機株,ケンキカブ,ケンキカブ
小売株,1285,1285,8281,名詞,一般,*,*,*,*,小売株,コウリカブ,コウリカブ
空運株,1285,1285,8281,名詞,一般,*,*,*,*,空運株,クウウンカブ,クーウンカブ
建設株,1285,1285,8281,名詞,一般,*,*,*,*,建機株,ケンキカブ,ケンキカブ
食品関連株,1285,1285,8281,名詞,一般,*,*,*,*,食品関連株,ショクヒンカンレンカブ,ショクヒンカンレンカブ
紙・パルプ株,1285,1285,8281,名詞,一般,*,*,*,*,紙・パルプ株,カミパルプカブ,カミパルプカブ
保険株,1285,1285,8281,名詞,一般,*,*,*,*,保険株,ホケンカブ,ホケンカブ
百貨店株,1285,1285,8281,名詞,一般,*,*,*,*,百貨店株,ヒャッカテンカブ,ヒャッカテンカブ
商社株,1285,1285,8281,名詞,一般,*,*,*,*,商社株,ショウシャカブ,ショーシャカブ
食品株,1285,1285,8281,名詞,一般,*,*,*,*,食品株,ショクヒンカブ,ショクヒンカブ
資源関連株,1285,1285,8281,名詞,一般,*,*,*,*,資源関連株,シゲンカンレンカブ,シゲンカンレンカブ
資源株,1285,1285,8281,名詞,一般,*,*,*,*,資源関連株,シゲンカンレンカブ,シゲンカンレンカブ
医薬・バイオ株,1285,1285,8281,名詞,一般,*,*,*,*,医薬・バイオ株,イヤクバイオカブ,イヤクバイオカブ
電気・機械株,1285,1285,8281,名詞,一般,*,*,*,*,電気・機械株,デンキキカイカブ,デンキキカイカブ
